movieId,title,genres
3,The Light of the World (1931),Drama|Fantasy            
6,Draupadi (1931),Drama
35,Indrasabha (1932),Musical|Romance            
57,Bhakta Prahlad (1932),Drama
67,Bhool Bhulaiyan (1933),Comedy
72,Alif Laila (1933),Fantasy
73,Karma (1933),Drama|Romance            
92,Abe Hayat (1933),Drama
172,Mazdoor (1934),Drama
177,Piya Pyare (1934),Adventure|Fantasy            
251,Chandrasena (1935),Adventure
258,Misar Ka Khazana (1935),Adventure|Fantasy            
286,Hunterwali (1935),Action|Adventure            
287,Yasmin (1935),Adventure|Fantasy            
297,Shadi Ki Raat (1935),Horror
318,Inquilab (1935),Drama
345,Miss Manorama (1935),Drama
353,Bhikharan (1935),Drama
383,Jungle Ki Rani (1936),Adventure
386,Achhut Kanya (1936),Drama|Musical|Romance            
390,Miss Frontier Mail (1936),Drama
395,Rajput Ramani (1936),Adventure
397,Jeevan Naya (1936),Drama
429,Janmabhoomi (1936),Drama
444,Amar Jyoti (1936),Drama
460,Devdas (1936),Drama|Romance            
508,Duniya Na Mane (1937),Drama
518,Toofani Tarzan (1937),Adventure
522,Kisan Kanya (1937),Drama
539,Prem Kahani (1937),Drama|Family|Romance            
562,Baghban (1938),Drama
584,Jiban Maran (1938),Drama|Romance            
594,Bhabi (1938),Drama|Family            
597,Nirmala (1938),Drama
601,Teen Sau Din Ke Baad (1938),Adventure
637,Leatherface (1939),Action|Adventure            
654,Life's for Living: Aadmi (1939),Drama|Romance            
659,Zambo Ka Beti (1939),Adventure
686,Payame Haq (1939),Adventure|Drama            
722,Azad (1940),Drama
724,Nartaki (1940),Drama
732,Zindagi (1940),Drama
741,Aurat (1940),Drama
742,Diamond Queen (1940),Action|Adventure            
768,Bahen (1941),Drama
774,Padosi (1941),Drama
799,Jhoola (1941),Drama
811,Khazanchi (1941),Mystery
823,Zalim Saudagar (1941),Drama
833,Meenakshi (1942),Drama
834,Basant (1942),Drama|Musical            
840,Jawab (1942),Drama
845,Sharda (1942),Drama|Family            
861,Bharat Milap (1942),Adventure|Drama|History            
867,Khandan (1942),Drama|Family            
873,Roti (1942),Drama
935,Kismet (1943),Drama
956,Najma (1943),Drama
970,Tansen (1943),Drama|Musical|Romance            
974,Ram Rajya (1943),Drama|Family|Fantasy            
977,Prithvi Vallabh (1943),Drama
982,Sanjog (1943),Comedy|Drama            
988,Zamindar (1943),Mystery
989,Taqdeer (1943),Drama
1012,Hamrahi (1944),Drama|Romance            
1016,Taxi Driver (1944),Comedy|Musical            
1019,Pehle Aap (1944),Drama
1044,Maharathi Karna (1944),Action|Adventure|Drama            
1058,Lal Haveli (1944),Drama|Romance            
1059,Aaina (1944),Drama|Romance            
1064,Jwar Bhata (1944),Drama|Romance            
1077,Ratan (1944),Musical|Romance            
1085,Parbat Pe Apna Dera (1944),Romance
